word,clue
grunts,Lowly soldiers
seeks,Fishes for
edys,Neighbor of Ben & Jerry's in the freezer section
entomb,Place in a mausoleum
posy,Bunch of flowers
hogs,They take too much
saps,Lunkheads
darted,"Ran out, as in front of traffic"
abs,Core parts
lades,Works as a stevedore
sloshes,Negotiates a puddle
ules,Diminutive suffixes
ssgts,Some noncoms: Abbr.
ells,Additions
oer,"""___the ramparts..."""
ennoble,Praise to the heavens
tis,Frank McCourt memoir
enron,"Company whose logo was, appropriately, crooked"
ccing,"Sharing mail with, in a way"
otis,Moving walkway maker
remap,Survey anew
plied,"Engaged in, as a trade"
mikes,Hard lemonade brand
moles,Double agents
titles,Mr. and Mrs.
emeu,Flightless bird: Var.
rastas,Some Jamaicans
others,Miscellany
tween,"Shopper in the juniors section, maybe"
mris,Some hosp. tests
icier,*Less welcoming
bells,"Poe poem, with ""The"""
oks,Authorizes
itis,Medical suffix
peter,Playwright Shaffer
erupted,Broke out
basics,Educational foundations
divests,Strips
tsars,Bygone autocrats
ibms,They were once cloned
oxen,Beasts in a span
ripen,"Yellow, perhaps"
eden,First couple's home
ads,Source of most of Google's revenue
stalker,"Lion, at times"
cuter,"Cuddlier, say"
reo,Motor City monogram
inca,Sun god worshiper
stdenis,Apostle to the Gauls
swatter,Pest eradicator
repo,"Auctioned property, maybe"
kooks,Nutcases
owes,Has debts
hugely,In a major way
ind,Mich. neighbor
oles,Corrida cries
assess,Evaluate
sticker,Price holder
laver,Rod who won four Wimbledons
pews,Nave furniture
even,Tied
estes,"___ Park, Colo."
riser,Stage elevator
nantes,Edict of ___ (Huguenot Wars ender)
has,Calls one's own
end,Goal
avis,"Pioneer company, since 1972, in computer reservations"
mats,Small rugs
flavor,Taste sensation
annoyed,Got to
leroy,"""Sleigh Ride"" composer Anderson"
overuse,Rely on excessively
ids,Airport checkpoint needs
gals,Guys' counterpart
firsts,Some Guinness Book listings
onion,Bretonne sauce ingredient
rcas,Some HDTV's
toorder,How some things are made
obey,Toe the line
yes,"""Aye, aye!"""
nor,Winner of the most medals at the 2018 Winter Olympics: Abbr.
nodes,Local area network members
chrissy,"Suzanne Somers's role on ""Three's Company"""
hay,"A pittance, slangily"
hor,TV adjustment: Abbr.
seen,Visualized
els,High ways?
sees,Notes
imglad,Comment upon hearing good news
mer,Mal de ___
ten,Count in a full count
earls,___ Court (London tube station)
yowls,Cries of pain
never,"""When pigs fly!"""
odas,Harem rooms
arsons,Firebugs' felonies
teal,Shade of blue
renewal,Fix-up
oboes,Orchestra members
sassy,Smart
wonks,Policy experts
zigs,Turns sharply
rents,Complex data
infest,Overrun
hans,"Prince in ""Frozen"""
steins,"Bass holders, maybe"
tios,Madre's brothers
makes,Throws together
scrams,Beats it
hoaxes,Some urban legends
nestles,Gets comfortable
cohen,Singer/songwriter Leonard
bossy,Domineering
drawer,Chest piece
indiana,The Crossroads of America
caned,Switch-hit?
darts,Game with a maximum score of 180
esses,Twisty highway curves
crocus,Long-tubed flower
read,Show literacy
erodes,Wears away
ems,North Sea feeder
deepsea,Kind of diver
scows,Harbor haulers
steer,Have the helm
fairs,Science events
assay,Analysis
yen,Urge
theirs,His and hers
cribs,Uses a cheat-sheet
intro,101 course
agents,Operatives
undies,Drawers
ozs,1.5 in a jigger: Abbr.
fobs,Watch chains
truly,Yours ___ (letter sign-off)
mess,Shambles
qed,Ending letters
cal,Title robot in an Isaac Asimov short story
veneer,Woodworker's facade
andress,"Ursula of ""The Blue Max"""
pigeons,Ones getting the crumbs?
bastion,Fortress
untied,Set free
lier,One who waits in ambush
unit,Word with military or heating
atkins,Doctor with a well-known diet
ably,With skill
ned,"Stark family member on ""Game of Thrones"""
res,Matter to the jury
arced,Like rainbows
tonier,More fashionable
nooses,Hangmen's tools
rev,Gun
inawe,Dumbstruck
amy,Comedian Schumer
ochers,Earthy colors
bless,Grace word
ssns,I.R.S. ID's
res,Musical notes
robots,Labor savers
bagels,Bakery items that may come with lox and cream cheese
staten,___ Island (part of New York City)
sen,"With 72-Across, former Va. official"
molly,Wife of 56-Across who said 69-Across
iter,Brain passage
elis,Tigers foe
ryder,"Winona of ""Girl, Interrupted"""
hobbs,"Roy ___, title character in ""The Natural"""
dday,Decisive time
acres,Section divisions
peres,1994 Peace Nobelist
stress,"Occupational hazard, often"
limas,Green beans
looming,On the horizon
ferment,Agitation
etds,Sked figures
elias,Sewing machine inventor Howe
por,___ favor
spay,Fix
roxy,Classic theater name
olive,Martini garnish
notes,Memos
ten,It's perfect
edits,Drops (or adds) a line
vibes,General feeling
edicts,Decrees
armor,Hard wear?
aces,Hand helpers
soaks,Relaxing baths
josephs,St. ___ University (Philadelphia school)
droids,Futuristic assistants
abcs,Basics
greer,Actress Garson
ops,Black ___ (covert doings)
seen,Noticed
pjs,Sleepers
bred,Mated
alter,Adjust
botany,Plant expert's field
hated,Loathed
bys,See 85-Across
auer,Violinist Leopold
neos,Modernists
ades,Summer drinks
rem,Crucial sleep stage
dew,Tears of morning?
imo,"""Methinks,"" in texts"
stamos,"John of Fox's ""Grandfathered"""
wetbars,Aids for home parties
regal,Imperial
lien,Bank holding
pleases,"Hits the spot, so to speak"
tenable,Like a good debater's arguments
uranus,"*William Herschel, 1781"
drs,Practice runners: Abbr.
otoes,Siouan tribesmen
rider,Contract add-on
reel,Fishing gear
kates,Middleton and Moss
weeny,Pipsqueak
hikers,"Ones on trails, perhaps"
tally,Add up
whys,___ and wherefores
cal,1920's White House name
rotors,Whirlybird whirlers
hogs,Greedy ones
rns,"Pro caregivers, for short"
peen,"Round end, of a sort"
rumpus,Uproar
sambas,Lively dances in 2/4 time
gripper,Vise
pores,Sweaters?
bren,Clip-fed machine gun
uey,One-eighty
series,"""The Office"" or ""House"""
sitby,Remain idle
repel,Force back
inlet,Cove
oped,Page with views
ender,Rear-___
pre,Cousin of ante-
intel,What spies collect
ever,"""Be it ___ so humble ?à"""
hmos,Med. care grps.
ibis,Cousin of a spoonbill
albion,Ireland : Erin :: Britain : ___
ufos,"Interplanetary craft, for short"
leaden,Like feet after a long trek
ires,Tees off
bibs,*Things to drool over?
snored,Was unconsciously disturbing?
epoxy,Sticky stuff
blts,They're toasted at luncheons
greats,People to remember
teensy,Wee
obey,Listen to
herring,False clue
led,Headed
tis,"""___ the season"""
actor,Oscar contender
asps,Poisonous snakes
eds,Dict. versions
mrbones,Minstrel show character
arabs,Some horses
lotions,Beach bottles
icky,Gross
ahoy,Cry from a ship
aviates,Flies
sags,Needs a facelift
adults,"Chaperons, typically"
ready,Primed
yser,North Sea feeder
deem,Consider
beer,"Samuel Adams, for one"
ales,Saloon selections
agts,Reps.
stoker,"""Dracula"" author Bram"
sal,___ acetosella (KHC2O4)
shots,Things binge drinkers sometimes do
odes,Sapphic works
isles,Liner stopovers
rds,Map lines: Abbr.
ways,Methods
reds,'50s scare
pawns,Puppets
encamp,Put down stakes?
olivier,"Best Actor for ""Hamlet,"" 1948"
ewes,___ milk
ten,"Number of one-voweled, seven-letter words in this puzzle"
leaps,Performs entrechats
lenders,"Banks, e.g."
denver,"Setting for part of Kerouac's ""On the Road"""
hifis,LP players
oohs,Sounds of amazement
odors,They may be offensive
sparred,Boxed a bit
haas,2009 Wimbledon semifinalist Tommy
entre,___ nous
able,In a position to help
glads,"Sword lilies, for short"
unwed,Not taken seriously?
synods,High councils
emi,Brit. record label
arcs,"Tennis lobs, e.g."
lsts,"Vessels seen in ""Saving Private Ryan"": Abbr."
les,Paul in the Rock and Roll Hall of Fame
ices,Summer coolers
pas,Mas' partners
scary,Hair-raising
oder,Baltic Sea feeder
poets,Homer and others
luis,"San ___ Obispo, Calif."
deb,Cotillion V.I.P.
aims,Targets
acorns,"Winter stash, of a sort"
raiment,Clothing
neater,More nifty
agars,Lab culture mediums
wing,"Improvise, with ""it"""
hazes,"Puts through the gantlet, say"
novotes,*Nays
los,Article for Cervantes
dobbs,"___ Ferry, N.Y."
dense,Not the brightest bulb on the tree
galas,Swank affairs
itor,"""Believe ___ not!"""
ons,Walk-___
esther,Purim honoree
orals,"Hurdle for a graduate degree, maybe"
charted,"Was a hit, say"
sawed,Cut
ply,Thickness
used,No longer mint
sops,Saturates
eer,Suffix with election
ideal,Model
execs,Suits
sass,Get smart with
teed,"Ready to go, with ""up"""
bales,Makes hay
inla,"""To Live and Die ___"""
sled,Coaster
pipes,"Singer's gift, colloquially"
pret,___-a-porter (ready-to-wear)
leons,Musicians Russell and Redbone
irving,"With 21-Down, composer of 36-Across"
roots,Gray location?
fiats,Orders
accents,Some work at hair salons
yelps,Pound sounds
peer,___ review
oneday,"""Eventually ..."""
rewards,Perks
aramis,One of the Three Musketeers
ivey,Phil in the Poker Hall of Fame
deer,Veal : calf :: venison : ___
maxbaer,"Sports champ depicted in ""Cinderella Man,"" 2005"
byes,Seeds often get them
huey,___ Lewis and the News
retina,62-Down part
tray,Waiter's load
vials,Lab glasses
plows,Goes (through) laboriously
frugal,Thrifty
gongs,Round percussion instruments
rangers,Madison Square Garden team
ret,Like Gen. Schwarzkopf
impei,Architect born in Guangzhou
andes,Mount Aconcagua's locale
disuse,What old things fall into
leis,Rings of blooms
noless,Exactly
dyed,"Like Easter eggs, colorwise"
given,Accepted fact
mojos,Magic amulets
zips,"10001, 10002, etc., informally"
imp,Little hellion
yrs,Calendar spans: Abbr.
scary,Alarming
oldmen,Codgers
reeve,"""The Bostonians"" star, 1984"
senors,Spanish gents
huts,Humble dwellings
raising,Poker ploy
melons,Items sometimes sniffed at a supermarket
els,Every lily has two
ens,Couple of pennies?
mussy,Rumpled
seesred,Bristles
getreal,"""That'll never happen!"""
tsps,Spice qtys.
debit,Bank statement entry
blesses,Sanctifies
rotated,Spun
fatcats,Moneybags types
almas,Gluck and Mahler
ives,"""A Little Bitty Tear"" hitmaker, 1962"
moray,Conger's cousin
tons,A bushelful
toss,Throw in the trash
manger,Stable place
trysts,Guarded get-togethers
axles,Ones keeping the wheels turning?
enorm,"Vast, in verse"
reaps,Brings in
used,Employed
uncut,Like diamonds from a mine
cal,Hall-of-Famer Hubbard
water,One piece of evidence of a planet's habitability
sneezy,One of the Seven Dwarfs
stress,Accentuate
gasser,Thigh-slapper
rosters,Lineups
amen,"""You sure got that right!"""
eons,An eternity
weedy,"Uncared-for, as a lawn"
qas,___ in queen
bras,Tops
appals,Consternates: Var.
stapler,Desk item
ranks,See 9-Across
veneer,Plywood layer
arbors,Pergolas
coeds,Sweethearts of Sigma Chi
pjs,"One- or two-piece attire, for short"
rtes,Ways to go: Abbr.
sands,Bygone Las Vegas casino
desks,Newspaper divisions
moppets,Rug rats
remop,"Clean again, perhaps"
etas,Viscosity symbols
ess,Superman's symbol
tion,Common noun ending
docs,"Official paperwork, for short"
yarned,Told tales
enthuse,Excite
pits,Very worst
amber,Honey-colored
leafed,Paged
cen,"2000s, e.g.: Abbr."
slashed,"Severely cut, as prices"
amas,"""Amo, ___, I love a lass..."""
assets,Liabilities' opposites
labs,Pharmaceutical workplaces
poets,Coffeehouse entertainers
epochal,Momentous
hasty,Cursory
elder,Tribal leader
den,Study
ins,Office-holders
habeas,___ corpus
arlen,Sen. Specter
asps,Hooded menaces
rerun,It's been put on before
inshort,Briefly
need,"Grant criterion, often"
shares,Equities
gags,Comedian's stock
red,"""Curse you, ___ Baron!"""
boys,"""The History ___"" (Tony-winning play)"
lemming,Not an independent thinker
topten,Billboard's best
coed,Like many intramural sports
rent,Apartment payment
reap,"Gain, as benefits"
athos,Eldest of the Three Musketeers
dern,"Laura of ""Jurassic Park"""
ears,They pop on planes
orgs,A.A. and A.A.A.
baal,Canaanite deity
etsy,Online crafts shop
ewes,Wool sources
doses,Doctors' orders
biology,Life lessons?
icing,Last step at a bakery
opry,___ house (down-home music site)
euros,Dough that's been raised overseas?
ages,A long time
intl,"The ""I"" of I.M.F.: Abbr."
masses,Some services
xes,"Deletes, with ""out"""
ravens,Baltimore N.F.L.ers
coopts,Takes as one's own
dead,Wanted-poster option
dead,Defunct
jons,Stewart and Lovitz
profs,Univ. teachers
ive,"""___ got it!"""
delmar,Beach resort near San Diego
unmet,Like some needs
redid,Fixed up
tsars,Nicholas and Alexander
obey,Toe the line
inane,Absurd
sober,Clearheaded
elders,Shaker leaders
dewy,___-eyed
bios,Book jacket items
schleps,Hauls around
futures,They're traded in the Chicago Board of Trade
dern,"Bruce of ""Family Plot"""
warning,"Blinking light, maybe"
pry,Be inquisitive
furor,Uproar
leister,Fishing spear
tasty,Toothsome
helmets,Cowboys' headgear
ewers,Certain still-life figures
swathes,Bundles up
foals,Newborn horses
niter,Gunpowder ingredient
ion,It's not free of charge
inhale,"Eat fast, slangily"
muffed,Blew
ding,"Criticize in a small way, informally"
memoirs,Some kiss-and-tell books
artists,Masters
abided,Bore
agal,"""... ___ in Kalamazoo"""
goes,"""Anything___"""
deer,Stag party?
blahs,"Ennui, with ""the"""
sases,Postpaid encls.
ovules,Reproductive parts of flowers
sleeper,Person in 39-Down
exes,Splitsville parties
coen,___ brothers (Hollywood duo)
nachos,Some chips
iritis,Eye inflammation
yaps,Chihuahua cries
imhip,"Beatnik's ""Gotcha"""
galls,Vexes
deimos,Moon of Mars
lens,Telescope part
elks,Benevolent and Protective Order group
enos,Slaughter the slugger
arts,Sciences' partner
tys,Actor Hardin et al.
goer,Attendee
sys,"The ""S"" in CBS: Abbr."
waiters,They're good at taking orders
rtes,GPS suggestions: Abbr.
imho,"""Here's what I think,"" briefly"
carps,Gripes
plus,Opposite of 37-Across
piles,An overabundance
today,Now
inaheap,"Like dirty clothes, often"
uno,Dos preceder
irs,Govt. collectors
series,"1, 1, 2, 3, 5, 8, 13 ..., e.g."
miso,Bowlful at a Japanese restaurant
intl,Abbr. in many airport names
unto,"""Come ___ me, all ye that labor ..."""
auden,"""The Age of Anxiety"" poet"
wes,"___ Matthews, either of an N.B.A. father-and-son duo"
caters,Supplies
hay,Contents of a hoedown seat
abhor,Not fancy at all
ers,Hosp. areas
irks,Ruffles the feathers of
mergers,Wall Street newsmakers
resales,House transactions
hqs,Mil. command bases
adheres,Sticks (to)
unite,Join
abas,Overseas rebellion cry
rotos,Old newspaper sections
nods,Gives a heady response?
mess,What a slob makes
relic,Museum piece
icy,Emotionally distant
tenor,Purport
prisons,Where people do stretches
infer,Suss out
amigas,Close chicas
decree,Formal order
ashen,"Pale, as a face"
redcell,Oxygen carrier
yen,Desire
rearm,Get guns again
ales,Pub pints
aches,Pains
lars,"2007 film ""___ and the Real Girl"""
shay,Open carriage
leeds,Yorkshire city
sky,Ocean's reflection
telly,What to watch the BBC on
lineups,Suspect groups
oxides,"Rust and lime, for two"
snubs,Ignores
expos,Big fairs
emory,Where Jimmy Carter teaches
stds,Quality control guidelines: Abbr.
donor,Transplant need
semis,They're followed by the finals
orion,Stars in which a belt is seen
imam,Muslim cleric
led,Spearheaded
lateral,Football fling
tarts,Some shells and their contents
sten,W.W. II gun
embeds,Sets securely
endrun,Evasive tactic
len,Author Deighton
views,YouTube statistics
esses,Half-kiss?
oiler,Mideast ship
enola,___ Gay
meter,"With 64-Across, a ticket issuer"
eked,"Barely managed, with ""out"""
sees,"Calls, in poker"
cber,Good buddy
retreat,Meditation location
los,Part of L.A.P.D.
eyed,Got a good look at
tmen,"Counterfeiter trackers, in old lingo"
derate,Lower the allowed electrical capacity of
encls,Ltr. accompaniers
skews,Distorts
inks,"Finalizes, in a way"
alices,"""___ Restaurant"""
diaper,It's placed on the bottom
maws,"Dinosaurs' open mouths, e.g."
qed,Math abbr.
aired,Exposed
managed,"Swung, so to speak"
genial,Friendly
dominos,It carries out many orders
iceteas,Lemons are often squeezed into them
duelers,Drawing people
naval,Maritime
hoarser,More raspy
reid,Successor to Frist as Senate majority leader
debuts,Premieres
maps,Treasure-hunters' aids
etnas,Cone-shaped heaters
oarsmen,Crew members
ados,Stinks
offs,Switch settings
enters,Records
nodeal,Result of a pullout?
dyes,Producers of highlights
reo,___ Speedwagon
oner,It's unique
metros,Some urban transit systems
ados,Fusses
stay,"""Don't go!"""
alter,Rehem
matador,Focus of a bull session?
inch,See 61-Across
when,Not just if
evened,Tied
isis,Egyptian goddess of life
axes,"x and y, in math"
ads,15+ minutes of a typical TV hour
hes,"Jackasses, e.g."
rods,Parts of window treatments
otis,"""The Adventures of Milo and ___"" (1989 film)"
babas,Rum cakes
excels,Doesn't do just O.K.
emu,Swift-running bird
toying,Acting idly
ermas,Bombeck et al.
plater,Metalworker of a sort
soaks,Long baths
tethers,Ropes
matts,TV's Houston and Dillon
elsies,"""The Two ___"" (Martha Finley children's book)"
india,Calcutta's home
why,Reason
writs,Court orders
emopop,Music genre for Billie Eilish
rias,Narrow inlets
views,YouTube data
sweden,It had the earliest parliament on the European continent
belarus,The Dnieper flows through it
rhinos,Animals with calves
ker,Prefix with plunk or plop
joyner,Track-and-field star Jackie ___-Kersee
nets,Team with which Derrick Coleman was the 1991 N.B.A. Rookie of the Year
glads,"Certain garden flowers, for short"
offal,Butcher's scraps
ition,Suffix with exped-
retook,Seized again
chafes,Rubs
dons,Puts on
medal,Olympic success
involve,Entail
inorbit,"Circling the earth, say"
idas,Actress Lupino and others
imat,"""This is where ___"""
insitu,Undisturbed
soy,Sauce ingredient
reek,Noisome smell
sis,Familial moniker
loins,Butchers' offerings
catered,Like many a reception
edger,Lawn tool
laurels,Prizes in early Olympics
sal,"""Erie Canal"" mule"
icer,Bakery worker
sautes,"Prepares, as some mushrooms"
total,Destroy
tees,Kickoff props
kiner,Seven-time N.L. home run champ
reade,"""The Cloister and the Hearth"" author"
trimmed,"Neat, as a beard"
engr,Technician: Abbr.
lessen,Tone down
ads,"Sponsored posts, essentially"
pegs,Outfielders' throws
has,"""Elvis ___ left the building"""
slider,Mini-burger
arced,Made a suborbital flight
usual,"Bar order, with ""the"""
empire,"""Star Wars"" group"
eulogy,"The Gettysburg Address, e.g."
reader,Barnes & Noble habitue
emails,Computer contacts
ideal,Utopian
demo,Item in a music producer's in-box
safer,More guarded
thejets,New York team that plays its home games in New Jersey
wis,Mich./Minn. separator
steady,High school sweetheart
enter,Keyboard key
pacers,Sulky pullers
equal,Peer
pier,Yacht spot
arenas,Sites for fights
redd,Actor Foxx
values,Appraises
wed,Couple
devon,English county whose seat is Exeter
oafs,Daily trippers?
fibber,Dishonest sort
ahas,Revelation responses
tired,Ready for bed
dyed,"Turned blue, maybe"
induce,Bring about
perps,Lawbreakers
sos,Line in the sand?
taps,A little night music
atlas,Way to see the world?
ether,Early anesthetic
awed,Full of fear
alers,A's and O's
palely,In a colorless way
ahyes,W. C. Fields affirmative
bans,Outlaws
idos,Exchange of swear words?
ink,Octopus's defense
meeting,Encounter
yes,Affirmative
razes,Wrecks
husky,Sled dog
oxen,Yoked animals
caution,It may be exercised
inners,"Forward line players, in soccer"
des,___ Moines
rias,Inlets
nicer,More friendly
inn,Place to stay
ades,Stirred drinks
nanas,"Unpaid babysitters, maybe"
infests,Overruns
lis,Lille lily
eno,"Brian with the album ""Before and After Science"""
tended,Watched
saddens,Gets down
stamos,"Actor John of ""Full House"""
primed,Ready
roped,Caught at a rodeo
molten,Like the golden calf
flay,Whip
unscrew,Turn loose?
react,Change chemically
soured,Became bitter
emus,Certain bird herd
nods,Drifts off
amatis,Cremona craftings
buss,Smack
steed,Mount with spirit
record,It's covered by a sleeve
ink,Some media coverage
hen,Cackler
suer,Litigant
image,Candidate's concern
deli,Bologna home
seabees,Military construction crew
leer,Oblique look
snits,Angry states
accts,Citibank nos.
dams,Stops up
equal,Up (to)
renin,Kidney secretion
dotes,Lavishes love (on)
shreds,"Viciously criticizes, informally"
loads,Washing jobs
moas,Extinct emu-like birds
hied,"Rushed, old-style"
ness,Loch ___
sis,"Family member, for short"
iowans,Amana folk
caulked,Applied oakum to
tics,Idiosyncrasies
wed,Bond
vales,"Lowlands, to poets"
deco,"Art style, informally"
wellfed,Robust
hrs,Four-baggers: Abbr.
madden,Infuriate
hapless,Unlucky
embargo,Completely block
corns,Foot woes
yodels,Some country music effects
aer,Ireland's ___ Lingus
wring,"Twist, as a wet towel"
access,Get into
ives,"""Concord"" sonata composer"
saks,Fifth Avenue concern
has,Possesses
steeds,Some mounts
ens,Naval officer below lieut.
poker,Word with face or hand
goer,No stay-at-home
tsps,Measures of salt and sugar: Abbr.
stress,Play up
sprees,Shopping binges
deli,Place to get a Reuben
dee,River to the Irish Sea
unpin,"Remove, as from a lapel"
malls,Places to find food courts and kiosks
epics,"""Cast-of- thousands"" films"
feller,Guy
srs,Grads-to-be: Abbr.
elal,Mideast carrier
tolled,Sounded
peter,One of the Fondas
say,For example
nonet,Largish combo
raised,Like Braille characters
mid,Prefix with day or night
bassets,They have short legs and long ears
nler,"Dodger or Met, for short"
mainly,By and large
raged,Showed fury
epees,Sports equipment wired for scoring
baers,Actors Max and Max Jr.
allen,Wrench handle?
silos,Missile pits
coy,Not as shy as one might think
oval,Like the logos for Subaru and Toyota
opes,"Makes accessible, old-style"
balds,Becomes a domehead
reese,Teammate of Robinson
cysts,Dermatological sacs
operas,Met production responsibilities?
hal,"Protagonist in David Foster Wallace's ""Infinite Jest"""
ass,Blockhead
timbal,Kettledrum
deepsix,Chuck
pining,Echo's activity
roddy,Actor McDowall
sateen,Glossy gown fabric
oys,Yiddish cries
subrosa,Confidentially
borates,Certain salts
ent,Med. focus
oaters,"""Copper Canyon"" and ""Coroner Creek"""
ifs,Suppositions
turnups,Trouser cuffs
ester,Fragrant compound
coons,___ age (long time)
pokers,Fireplace equipment
rotator,Muscle with a palindromic name
beds,Nap sacks
only,"The ""O"" in CD-ROM"
olen,Author Robert ___ Butler
shes,"Paul Anka's ""___ a Lady"""
evaders,Dodgers
ass,Sure-footed work animal
veneers,Superficial pretenses
even,Still
eps,"Short albums, for short"
plaids,They're checked
even,Tied up
dvds,Redbox offerings
nailer,Hammer user
pines,Languishes
sven,"Man's name meaning ""young man"""
sags,Succumbs to gravity
noes,Discouraging words
shred,Bit
gas,Tankful
ayes,They may have it
tiler,Home subcontractor
eleanor,Mother of Richard I
hillary,"""View From the Summit"" memoirist"
ores,They lack refinement
bly,Global traveler Nellie
read,Prophesy
dei,___ gratia
hubs,Nexuses
sneerer,"Villain, at times"
todos,Flaps
enrich,Better
tenor,"Placido Domingo, for one"
res,Follower of hi or lo
emote,Gush
liberal,Loose
darner,Hole fixer
abs,Target of core workouts
his,"""___ Girl Friday"" (1940 Cary Grant movie)"
spray,Many a cologne
aped,Made like
enrobe,Get dressed
names,"April, May and June, e.g."
reflex,Kind of camera
maas,"""Serpico"" author Peter"
unit,Troop group
woks,Concave kitchenware
tuxedos,Some gala wear
styles,Barbers
irs,"Spring addressee, for short"
duhs,Silly syllables
asks,Inquires
duhs,Stupidity syllables
keen,Itching (to)
uni,Sushi bar offering
ural,River through the Steppes of Asia
emote,Theatricalize
added,Totaled
axed,"Brought down, as a tree"
bas,English majors' degs.
ster,Suffix with prank
smarts,Intelligence
gloats,What a poor winner does
inter,Encrypt?
uses,Applies
repose,Peace of mind
ped,___ Xing
tasks,Undertakings
dorsal,Along the back
ret,"Abbr. after U.S.M.C., maybe"
aces,Good blackjack holdings
lines,"""Your place or mine?"" and others"
soled,Put bottoms on
adidas,Sports brand with a three-stripe logo
terry,Robe material
repair,Fix
fenster,Window: Ger.
puny,Runtish
owner,"One of the o's in ""o/o"""
eludes,Shakes
odds,Gamblers' calculations
refer,"Direct, as for information"
osier,Basket material
per,Part of m.p.g.
slower,"Like a runner-up, often"
weaving,Not staying in one's lane
oys,Yiddish laments
taints,Contaminates
treated,Picked up the dinner tab
reroof,"Cover over, in a way"
abodes,Cabins and such
nadirs,Floors
unit,Part of I.C.U.
cactus,Peyote is one
ones,"Word sometimes substituted for ""your"""
any,"""Pick a card, ___ card"""
speed,Celerity
tickets,Lottery buys
thy,"Your, of yore"
miso,Japanese soup
crazy,Not making sense
ekes,Grinds (out)
tass,Old name in news
inn,Country ___
fled,Took to the hills
estes,"___ Park, Colo."
olios,Jambalayas
teen,"It may follow four or six, but not five"
bops,Hits with one's fist
calais,Channel port
pens,Female swans
agents,Operatives
emit,Issue
retrain,Prepare to change careers
uss,Letters at a launch
ams,Clock settings
emile,Sociologist Durkheim
stephen,His feast day is December 26
red,See 14-Across
janis,Singer Ian
remit,Please ___ (invoice stamp)
thermos,Drink holder
pushy,Far from reticent
odor,Freshness indicator
orcs,Enemies of hobbits
moral,Lesson to be learned
nomas,"Spanish equivalent of ""Basta!"""
aunts,Some reunion gatherers
ines,California's Mission Santa ___
lay,Not of the cloth
chrissy,"One of the three on ""Three's Company"""
hauls,Carries
hors,___ d'oeuvres
rex,"""Regal"" pet name"
refs,Umps
pesos,Manila moolah
eno,Musician Brian
wren,Chirpy bird
eros,Love of Greece?
twos,Terrible ___
months,Their days are numbered
ars,Roman art
profess,Declare
dis,"Insult, slangily"
red,Like hearts and diamonds
neer,Poetic contraction
loren,"Sophia of ""Two Women"""
anti,Not pro
demo,Sampler
robs,Burglarizes
eeny,Counting-out word
lees,Bottom of the barrel
spenser,"""Epithalamion"" poet"
plods,Moves laboriously
boarder,Transient
oafs,Clodhoppers
typers,Computer users
urns,Coffee holders
dear,Lambchop
dads,Soft drink brand
ewings,"""Dallas"" family"
abs,"Obliques, e.g."
ene,Opposite of WSW
enters,Comes in
ors,"Scrubs areas, briefly"
denada,"""You're welcome,"" in Spanish"
steeler,"Terry Bradshaw, for his entire career"
wring,"Twist, as a wet cloth or a neck"
otis,Miss in a 1934 song
arbor,"Ann ___, Mich."
ores,Tram loads
eels,Snaky fishes
eden,50's British P.M. Anthony
inon,Get___the ground floor
emerged,Surfaced
metal,Rock genre
sass,Insolent talk
tamers,Circus employees
edys,Breyers rival
noor,"Queen who wrote ""Leap of Faith"""
flimsy,Not believable
cds,Some savings accts.
sys,"Lead-in to ""ops"""
insect,One putting out feelers?
elks,Group with an Exalted Ruler
jabbed,Poked
oared,Had a row
oys,Kvetchers' cries
blots,They're bad on records
soy,Nondairy milk source
rene,Actress Russo
mesmer,Eponymous doctor who studied hypnosis
mres,G.I. fare
reed,Melodeon part
oven,Kind of mitt
enote,Short Internet message
mss,Post-B.A. degrees
unite,Bring together
pills,Dispensary stock
eyer,One taking a gander
edged,Defeated by a hair
eps,"Short albums, for short"
sos,"""Mayday!"""
spends,Shells out
heals,Makes sound
ary,Mission closing
hired,Contracted
rabbis,Torah readers
infer,"Gather, logically"
wed,Bond
res,Hi-___ monitor
del,Dover's state: Abbr.
dean,One of the 30's Gas House Gang
alias,"Carlos Danger, e.g."
ones,Cash register compartment
saracen,Crusades fighter
regan,Daughter of King Lear
inner,Felt but not seen
panics,Freaks out
astor,Lady Nancy
regime,"Junta, say"
macks,Big trucks
onmy,"""___ Own"" (song from ""Les Miz"")"
pity,Feel sorry for
lads,"Tom and Huck, e.g."
aral,___ Sea (Amu Darya's outlet)
wets,Volstead Act opponents
men,"""___ make history and not the other way around"": Harry Truman"
inseam,Measure of a man?
bams,Sounds of impact
his,Greetings
ozs,Lb. parts
seen,Spotted
sky,"Jupiter's domain, in myth"
ovals,"Toilet seats, e.g."
aer,___ Lingus
reels,Projector items
ies,Suffix with pant
emma,Title heroine of 1816
marshal,Chief of a fire department
nursery,Supplier of garden supplies
beds,Tanning salon fixtures
innate,"God-given, as abilities"
oaths,"Swearing to tell the truth, and others"
menus,Restaurant stack
opal,The Olympic Australis is the world's largest discovered one
led,Went first
pees,"Preceders of cues, alphabetically"
emanate,Flow (from)
orioles,Birds with hanging nests
irons,Fireplace tools
tens,Pairs of fins
rays,Sunbeams
genesis,It recounts the Fall
ames,"___ Brothers, who sang ""Rag Mop"""
resin,"Amber, for one"
saysyes,Agrees
ether,"Dr. Larch's drug in ""The Cider House Rules"""
gabs,Gossips
